list_id,player_id,faction_id,leader,list,cccode
5984,2992,14,"Heretic 1","Grymkin Army - 75 / 75 points\n[Theme] Dark Menagerie\n\n(Heretic 1) The Heretic [+28]\n - Cage Rager [14]\n - Cage Rager [14]\n - Crabbit [0(n/a)]\n - Crabbit [0(n/a)]\n - Frightmare [9]\n - Frightmare [9]\n - Gorehound [6]\n - Rattler [8]\n - Skin & Moans [15]\n - Skin & Moans [15]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nDeath Knell [13]\n","ce101b_-0rhuh2h2hyhyh5h5h6h7h3h3hmhmhmhmhr___-0rhth2h2hyhyh5h7h3h3j6hmhmhmhmh8hr"
5985,2992,14,"Dreamer 1","Grymkin Army - 75 / 75 points\n[Theme] Dark Menagerie\n\n(Dreamer 1) The Dreamer [+28]\n - Cage Rager [14]\n - Cage Rager [14]\n - Crabbit [0(n/a)]\n - Crabbit [0(n/a)]\n - Frightmare [9]\n - Rattler [8]\n - Skin & Moans [15]\n - Skin & Moans [15]\nEilish Garrity, the Occultist [5]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [3]\nDread Rots (min) [7]\nDeath Knell [13]\n","ce101b_-0rhuh2h2hyhyh5h5h6h7h3h3hmhmhmhmhr___-0rhth2h2hyhyh5h7h3h3j6hmhmhmhmh8hr"
5982,2991,7,"Kolgrima 1","Trollbloods Army - 75 / 75 points\n[Theme] The Power of Dhunia\n\n!!! Your army contains pre-release entries.\n\n(Kolgrima 1) Kolgrima Stonetruth, Winter Witch [+28]\n - Dire Troll Brawler [16]\n - Dire Troll Brawler [16]\n - Mulg the Ancient [22]\n - Troll Axer [10]\n - Trollkin Runebearer [0(5)]\nDahlia Hallyr [17]\nJanissa Stonetide [0(4)]\nNorthkin Shaman [4]\nNorthkin Shaman [4]\nFarrow Bone Grinders (min) [5]\nKrielstone Bearer & Stone Scribes (min) [6]\n - Stone Scribe Elder [3]\n","c7101b_-0bj1jnjnjp0hjqbH7dfJfJ0U0k0m___-0G07jn9Dj66Gj2jD0ki-6miZiZiS"
5983,2991,7,"Borka 1","Trollbloods Army - 75 / 75 points\n[Theme] Storm of the North\n\n!!! Your army contains pre-release entries.\n\n(Borka 1) Borka Kegslayer [+28]\n - Dire Troll Brawler [16]\n - Dire Troll Mauler [15]\nEilish Garrity, the Occultist [5]\nFell Caller Hero [0(5)]\nValka Curseborn, Chieftain of the North [0(6)]\nFarrow Valkyries [8]\nKrielstone Bearer & Stone Scribes (min) [6]\n - Northkin Elder [3]\nLong Riders (max) [20]\nNorthkin Bear Handle & Battle Bears [10]\nNorthkin Bear Handle & Battle Bears [10]\nTrollkin Champions (min) [10]\n","c7101b_-0bj1jnjnjp0hjqbH7dfJfJ0U0k0m___-0G07jn9Dj66Gj2jD0ki-6miZiZiS"
5986,2993,8,"Baldur 2","Circle Army - 75 / 75 points\n[Theme] The Bones of Orboros\n\n!!! Your army contains a pre-release entry.\n\n(Baldur 2) Baldur the Stonesoul [+30]\n - Megalith [20]\n - Wold Wight [5]\n - Woldwarden [14]\n - Woldwrath [37]\n - Woldwyrd [9]\nBlackclad Stoneshaper [0(3)]\nBlackclad Stoneshaper [3]\nBlackclad Wayfarer [0(4)]\nBlackclad Wayfarer [0(4)]\nGallows Grove [2]\nGallows Grove [2]\nSentry Stone & Mannikins [5]\nSentry Stone & Mannikins [5]\nShifting Stones [3]\n","c8101b_-0p5C4QjwjFcn4Hg4g45g5gc9c95e5e5f___-0WgU4I4B5H5H5l5l4z5g5g5hbF5f5y"
5987,2993,8,"Kaya 3","Circle Army - 75 / 75 points\n[Theme] Call of the Wild\n\n(Kaya 3) Kaya the Wildheart [+27]\n - Gnarlhorn Satyr [12]\n - Gorax Rager [7]\n - Scarsfell Griffon [8]\n - Scarsfell Griffon [8]\n - Warpwolf Stalker [19]\n - Warpwolf Stalker [19]\n - Wild Argus [7]\nBlackclad Wayfarer [0(4)]\nBlackclad Wayfarer [0(4)]\nLord of the Feast [0(6)]\nWrong Eye [17]\nShifting Stones [3]\n - Stone Keeper [2]\n","c8101b_-0p5C4QjwjFcn4Hg4g45g5gc9c95e5e5f___-0WgU4I4B5H5H5l5l4z5g5g5hbF5f5y"
5992,2996,6,"Ashlynn 1","Mercenary Army - 75 / 75 points\n[Theme] Llaelese Resistance\n\n(Ashlynn 1) Ashlynn D'Elyse [+29]\n - Galleon [39]\n - Reinholdt, Gobber Speculator [0(4)]\nEilish Garrity, the Occultist [0(5)]\nGastone Crosse [4]\n - Vanguard [10]\n - Vanguard [10]\nGorman di Wulfe, Rogue Alchemist [4]\nMajor Harrison Gibbs [4]\nRagman [4]\nChoir of Menoth (min) [4]\nExemplar Errants (max) [16]\nThorn Gun Mages [9]\n","c6101b_-0R5rc57ij6e05W5W7kg89u2_2miF___-0Rjv5Y5Y5Z7i7jj67kg89ua5a6a8iFiF9U"
5993,2996,6,"Crosse 2","Mercenary Army - 75 / 75 points\n[Theme] Llaelese Resistance\n\n!!! Your army contains a pre-release entry.\n\n(Crosse 2) Lieutenant Crosse, Resistance Fighter [+29]\n - Mule [15]\n - Mule [15]\n - Nomad [11]\n - Reinholdt, Gobber Speculator [0(4)]\nAnastasia di Bray [3]\nEilish Garrity, the Occultist [0(5)]\nGorman di Wulfe, Rogue Alchemist [4]\nMajor Harrison Gibbs [4]\nRagman [4]\nStormblade Infantry [10]\n - Stormblade Infantry Officer & Standard [0(5)]\n - Stormblade Infantry Storm Gunner (2) [4]\nThorn Gun Mages [9]\nThorn Gun Mages [9]\nTrencher Infantry (max) [16]\n","c6101b_-0R5rc57ij6e05W5W7kg89u2_2miF___-0Rjv5Y5Y5Z7i7jj67kg89ua5a6a8iFiF9U"
5988,2994,3,"Karchev 1","Khador Army - 75 / 75 points\n[Theme] Jaws of the Wolf\n\n(Karchev 1) Karchev the Terrible [+30]\n - Behemoth [25]\n - Devastator [14]\n - Kodiak [13]\n - Kodiak [13]\n - Marauder [10]\n - Marauder [10]\n - Reinholdt, Gobber Speculator [4]\nGreylord Forge Seer [0(4)]\nWidowmaker Marksman [0(4)]\nYuri the Axe [0(6)]\nBattle Mechaniks (min) [3]\nKayazy Eliminators [5]\nWidowmaker Scouts [8]\n","c3101b_-0x7a7w7q7s7s7t7t7ihF8r8y86ch8e___-0f6Y0d7s8tgc8M8I7Z7-7-7Y7W7Y7Wi6"
5989,2994,3,"Sorscha 2","Khador Army - 74 / 75 points\n[Theme] Winter Guard Kommand\n\n(Sorscha 2) Forward Kommander Sorscha [+27]\n - Juggernaut [12]\n - Kodiak [13]\nKovnik Jozef Grigorovich [4]\nWinter Guard Artillery Kapitan [3]\nLady Aiyana & Master Holt [8]\n - Koldun Kapitan Valachev [4]\nWinter Guard Field Gun Crew [0(4)]\nWinter Guard Mortar Crew [0(5)]\nWinter Guard Mortar Crew [0(5)]\nWinter Guard Rifle Corps (max) [13]\n - Winter Guard Rocketeer (3) [6]\nWinter Guard Rifle Corps (max) [13]\n - Winter Guard Rocketeer (3) [6]\nWinter Guard Gun Carriage [17]\n","c3101b_-0x7a7w7q7s7s7t7t7ihF8r8y86ch8e___-0f6Y0d7s8tgc8M8I7Z7-7-7Y7W7Y7Wi6"
