"game_id","round","player","player_team","list","faction","opponent","TP","CP","VP","victory_condition","scenario","year"
"1","1","Aat Niehot","Team Netherlands","Borka","Trollblood","Pär-Ola Nilsson","0","2","27","Caster Kill","Into the Breach","2013"
"1","1","Anthony Ferraiolo","Team USA Stars","Deneghra2","Cryx","Petr Cermak","0","5","9","Scenario","Incoming","2014"
"1","1","Denis Korzun","Team Sweden Nobel","Madrak2","Trollblood","Eric Liu","1","0","38","Caster Kill","Outflank","2015"
"1","1","Eric Liu","Team Middle East","Asphyxious3","Cryx","Denis Korzun","0","1","17","Caster Kill","Outflank","2015"
"1","1","Petr Cermak","Team Czech Republic","Saeryn","Legion of Everblight","Anthony Ferraiolo","1","0","0","Scenario","Incoming","2014"
"1","1","Pär-Ola Nilsson","Team Epic Sweden","Vlad2","Khador","Aat Niehot","1","0","35","Caster Kill","Into the Breach","2013"
"2","1","Aubrey Linen","Team Middle East","Calandra","Trollblood","Christoffer Wedding","0","2","20","Caster Kill","Outflank","2015"
"2","1","Brian White","Team USA Stars","High Reclaimer","Protectorate of Menoth","Josef Skládanka","1","5","40","Scenario","Incoming","2014"
"2","1","Christoffer Wedding","Team Sweden Nobel","Issyria","Retribution of Scyrah","Aubrey Linen","1","5","67","Caster Kill","Outflank","2015"
"2","1","Jocke Rapp","Team Epic Sweden","Bartolo","Mercenaries","Robert Willemstein","1","4","50","Caster Kill","Into the Breach","2013"
"2","1","Josef Skládanka","Team Czech Republic","Siege","Cygnar","Brian White","0","2","16","Scenario","Incoming","2014"
"2","1","Robert Willemstein","Team Netherlands","Feora2","Protectorate of Menoth","Jocke Rapp","0","0","5","Caster Kill","Into the Breach","2013"
"3","1","Christian Aas","Team Epic Sweden","Vayl2","Legion of Everblight","Tom Starren","1","0","56","Caster Kill","Into the Breach","2013"
"3","1","Daniel Bogdanoski","Team Czech Republic","Irusk","Khador","Will Pagani","0","0","20","Caster Kill","Incoming","2014"
"3","1","Olov Winroth","Team Sweden Nobel","Sorscha2","Khador","Richard McCammon","1","0","38","Caster Kill","Outflank","2015"
"3","1","Richard McCammon","Team Middle East","Skarre","Cryx","Olov Winroth","0","2","3","Caster Kill","Outflank","2015"
"3","1","Tom Starren","Team Netherlands","Butcher2","Khador","Christian Aas","0","1","16","Caster Kill","Into the Breach","2013"
"3","1","Will Pagani","Team USA Stars","Kromac","Circle Orboros","Daniel Bogdanoski","1","2","50","Caster Kill","Incoming","2014"
"4","1","Casper Jellema","Team Netherlands","Krueger2","Circle Orboros","Jeppa Resmark","0","0","41","Caster Kill","Into the Breach","2013"
"4","1","Christian Aas","Team Sweden Nobel","Vayl","Legion of Everblight","Joseph Hanna","1","5","30","Scenario","Outflank","2015"
"4","1","Jake VanMeter","Team USA Stars","Saeryn","Legion of Everblight","Vladimir Kokolia","1","5","18","Scenario","Incoming","2014"
"4","1","Jeppa Resmark","Team Epic Sweden","Haley2","Cygnar","Casper Jellema","1","0","55","Caster Kill","Into the Breach","2013"
"4","1","Joseph Hanna","Team Middle East","Mordikaar","Skorne","Christian Aas","0","0","30","Scenario","Outflank","2015"
"4","1","Vladimir Kokolia","Team Czech Republic","Coven","Cryx","Jake VanMeter","0","0","4","Scenario","Incoming","2014"
"5","1","Christoffer Wedding","Team Epic Sweden","Krueger2","Circle Orboros","Harm Kleijnen","1","5","42","Scenario","Into the Breach","2013"
"5","1","Harm Kleijnen","Team Netherlands","Vayl2","Legion of Everblight","Christoffer Wedding","0","1","16","Scenario","Into the Breach","2013"
"5","1","Josh Blakemore","Team Middle East","Durst","Protectorate of Menoth","Torbjörn Hansson","0","0","0","Caster Kill","Outflank","2015"
"5","1","Ryan Chiriboga","Team USA Stars","Skarre","Cryx","Vojtech Medonos","1","5","16","Scenario","Incoming","2014"
"5","1","Torbjörn Hansson","Team Sweden Nobel","Vayl2","Legion of Everblight","Josh Blakemore","1","0","29","Caster Kill","Outflank","2015"
"5","1","Vojtech Medonos","Team Czech Republic","Calandra","Trollblood","Ryan Chiriboga","0","0","13","Scenario","Incoming","2014"
"6","1","Adam Jones","Team Wales Storm","Krueger2","Circle Orboros","João Morais","1","5","7","Scenario","Outflank","2015"
"6","1","Alexander Grob","Team Austria Red","Skarre","Cryx","David Kane","1","4","60","Caster Kill","Into the Breach","2013"
"6","1","David Kane","Team Scotland","Vlad2","Khador","Alexander Grob","0","1","27","Caster Kill","Into the Breach","2013"
"6","1","João Morais","Team Portugal Prime","Xerxis","Skorne","Adam Jones","0","2","43","Scenario","Outflank","2015"
"6","1","Kozhushko Olexii","Team Ukraine","Kromac","Circle Orboros","Philip Johnston","0","0","26","Scenario","Incoming","2014"
