"player","team","faction","is_theme","theme_name","leader","list"
"Aaron Wale","Australia Drop Bear","Cryx","1"," Dark Host","Skarre 1","Cryx Army - 75 / 75 points\n[Theme] Dark Host\n\n(Skarre 1) Pirate Queen Skarre [+28]\n - Inflictor [13]\n - Stalker [8]\n - Stalker [8]\n - Skarlock Thrall [0(4)]\nBane Lord Tartarus [0(6)]\nDarragh Wrathe [9]\nNecrotech [2]\nScrap Thrall [2]\nBane Knights (max) [15]\nBane Warriors (max) [16]\n - Bane Warrior Officer & Standard [0(5)]\nWraith Engine [15]\nWraith Engine [15]\n"
"Aaron Wale","Australia Drop Bear","Cryx","1"," The Ghost Fleet","Deneghra 1","Cryx Army - 75 / 75 points\n[Theme] The Ghost Fleet\n\n(Deneghra 1) Warwitch Deneghra [+28]\n - Deathripper [6]\n - Nightwretch [7]\n - Nightwretch [7]\n - Stalker [8]\nCaptain Rengrave [0(5)]\nHellslinger Phantom [0(7)]\nPistol Wraith [0(5)]\nBlackbane's Ghost Raiders (min) [11]\nRevenant Cannon Crew [4]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (3) [6]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (3) [6]\nRevenant Crew of the Atramentous (min) [9]\n - Revenant Crew Rifleman (3) [6]\nWraith Engine [15]\n"
"Jack Ding","Australia Drop Bear","Cygnar","1"," Heavy Metal","Sloan 1","Cygnar Army - 75 / 75 points\n[Theme] Heavy Metal\n\n!!! Your army contains pre-release entries.\n\n(Sloan 1) Captain Kara Sloan [+28]\n - Charger [9]\n - Charger [9]\n - Charger [9]\n - Charger [9]\n - Hunter [10]\n - Hunter [10]\n - Hurricane [39]\n - Squire [0(5)]\nArchduke Alain Runewood, Lord of Fharin [0(4)]\nCaptain Arlan Strangewayes [0(4)]\nJourneyman Warcaster [0(4)]\n - Firefly [8]\n"
"Jack Ding","Australia Drop Bear","Cygnar","1"," Heavy Metal","Haley 2","Cygnar Army - 75 / 75 points\n[Theme] Heavy Metal\n\n!!! Your army contains a pre-release entry.\n\n(Haley 2) Major Victoria Haley [+25]\n - Hurricane [39]\n - Ironclad [12]\n - Thorn [13]\n - Squire [0(5)]\nCaptain Arlan Strangewayes [0(4)]\nJourneyman Warcaster [0(4)]\n - Firefly [8]\nLieutenant Allison Jakes [0(4)]\n - Hunter [10]\nStorm Strider [18]\n"
"Edward Sykes","Australia Drop Bear","Khador","1"," Legion of Steel","Irusk 1","Khador Army - 75 / 75 points\n[Theme] Legion of Steel\n\n(Irusk 1) Kommandant Irusk [+27]\n - Conquest [37]\nIron Fang Kovnik [0(4)]\nIron Fang Kovnik [0(4)]\nUhlan Kovnik Markov [7]\nBlack Dragons (max) [17]\n - Black Dragon Officer & Standard [0(4)]\nBlack Dragons (max) [17]\n - Black Dragon Officer & Standard [4]\nIron Fang Uhlans (max) [20]\n"
"Edward Sykes","Australia Drop Bear","Khador","0",,"Vladimir 2","Khador Army - 75 / 75 points\n\n(Vladimir 2) Vladimir Tzepesci, The Dark Champion [+27]\n - Marauder [10]\n - Ruin [17]\nKovnik Jozef Grigorovich [4]\nMan-O-War Drakhun [9]\nMan-O-War Drakhun [9]\nManhunter [4]\nGreylord Outriders (max) [20]\nKayazy Eliminators [5]\nKayazy Eliminators [5]\nWinter Guard Rifle Corps (max) [13]\n - Winter Guard Rocketeer (3) [6]\n"
"Josh Bates","Australia Drop Bear","Cygnar","1"," Heavy Metal","Caine 3","Cygnar Army - 75 / 75 points\n[Theme] Heavy Metal\n\n(Caine 3) Caine's Hellslingers [+20]\n - Ace [12]\n - Charger [9]\n - Charger [9]\n - Charger [9]\n - Charger [9]\n - Hurricane [39]\n - Squire [0(5)]\nCaptain Arlan Strangewayes [0(4)]\nJourneyman Warcaster [0(4)]\n - Firefly [8]\n"
"Josh Bates","Australia Drop Bear","Cygnar","0",,"Haley 3","Cygnar Army - 75 / 75 points\n\n(Haley 3) Major Prime Victoria Haley [+25]\n - Firefly [8]\n - Firefly [8]\n - Thorn [13]\nAnastasia di Bray [3]\nHutchuck, Ogrun Bounty Hunter [6]\nJourneyman Warcaster [4]\n - Firefly [8]\nMajor Katherine Laddermore [8]\nRagman [4]\nRhupert Carvolo, Piper of Ord [4]\nStorm Lances (min) [12]\nStorm Lances (min) [12]\nTrencher Infantry (min) [10]\n"
"Christopher Davies","Australia Drop Bear","Khador","1"," Winter Guard Kommand","Sorscha 1","Khador Army - 75 / 75 points\n[Theme] Winter Guard Kommand\n\n(Sorscha 1) Kommander Sorscha [+29]\n - Conquest [37]\nKovnik Jozef Grigorovich [4]\nWidowmaker Marksman [4]\nWinter Guard Artillery Kapitan [0(3)]\nWinter Guard Mortar Crew [0(5)]\nWinter Guard Mortar Crew [0(5)]\nWinter Guard Rifle Corps (min) [8]\n - Winter Guard Rocketeer (3) [6]\nWinter Guard Rifle Corps (min) [8]\n - Winter Guard Rocketeer (3) [6]\nWinter Guard Rifle Corps (min) [8]\n - Winter Guard Rocketeer (3) [6]\nWinter Guard Gun Carriage [17]\n"
"Christopher Davies","Australia Drop Bear","Khador","1"," Jaws of the Wolf","Karchev 1","Khador Army - 75 / 75 points\n[Theme] Jaws of the Wolf\n\n(Karchev 1) Karchev the Terrible [+30]\n - Juggernaut [12]\n - Kodiak [13]\n - Kodiak [13]\n - Marauder [10]\n - Marauder [10]\n - Marauder [10]\n - Marauder [10]\n - Marauder [10]\n - War Dog [0(3)]\nGreylord Forge Seer [0(4)]\n - Destroyer [14]\nGreylord Forge Seer [0(4)]\nWidowmaker Marksman [0(4)]\nBattle Mechaniks (min) [3]\n"
"Andrew Haidon","Australia Bin Chicken","Grymkin","1"," Bump in the Night","Heretic 1","Grymkin Army - 75 / 75 points\n[Theme] Bump in the Night\n\n(Heretic 1) The Heretic [+28]\n - Cage Rager [14]\n - Crabbits (2) [7]\n - Gorehound [6]\n - Gorehound [6]\nGlimmer Imp [0(4)]\nLord Longfellow [0(6)]\nDread Rots (max) [12]\nHollowmen (min) [8]\n - Lantern Man [0(3)]\nPiggybacks (max) [15]\nPiggybacks (max) [15]\nTwilight Sisters [7]\nDeath Knell [13]\n"
"Andrew Haidon","Australia Bin Chicken","Grymkin","1"," Dark Menagerie","Wanderer 1","Grymkin Army - 75 / 75 points\n[Theme] Dark Menagerie\n\n(Wanderer 1) The Wanderer [+28]\n - Crabbit [0(n/a)]\n - Crabbits (2) [7]\n - Frightmare [9]\n - Gorehound [6]\n - Rattler [8]\n - Skin & Moans [15]\n - Skin & Moans [15]\n - Skin & Moans [15]\nGlimmer Imp [4]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nGremlin Swarm [0(3)]\nLady Karianna Rose [4]\nDread Rots (min) [7]\nDeath Knell [13]\n"
"Christopher Swain","Australia Bin Chicken","Cryx","0",,"Skarre 2","Cryx Army - 75 / 75 points\n\n(Skarre 2) Skarre, Queen of the Broken Coast [+26]\n - Barathrum [15]\n - Deathripper [6]\n - Kraken [36]\nHellslinger Phantom [7]\nMachine Wraith [2]\nMachine Wraith [2]\nMachine Wraith [2]\nSatyxis Raider Captain [4]\nWarwitch Siren [4]\nWarwitch Siren [4]\nSatyxis Raiders (max) [16]\n - Satyxis Raider Sea Witch [3]\n"
